title,description
カローラクロスの各ガラスの紫外線カット率はどのくらいですか？,フロントウインドシールドガラスの紫外線カット率は99％、ドアガラスは85％以上、リヤドアガラスは95％以上（G“X”は85％以上）、クォーターガラスは90％以上（G“X”は65％以上）、バックドアガラスは95％以上（G“X”は85％以上）、パノラマルーフは99％です。
アクアの各ガラスの紫外線カット率はどれくらいですか？,紫外線カット率は、フロントウインドシールドガラスで99％、フィックスガラスで85％以上、ドアガラスで85％以上～99％、リヤドアガラスとクォーターガラスで85％以上～90％以上、バックドアガラスで85％以上～90％以上です。ただし、これらの数値は社内測定値であり、ばらつきがある場合があります。
RAV4には3種類の4WD（E-Four）が設定されている理由は何ですか？,3種類の4WD（E-Four）は、お客様の使用シーンに合わせて選べるように設定されています。ダイナミックトルクベクタリングAWDはアクティブなお客様向け、ダイナミックコントロール4WDは通勤などの近場利用がメインのお客様向け、ハイブリッド E-Fourは長距離やスポーティな走りを好むお客様向けです。全ての4WDは、4WD統合制御（AIM）を採用し、走る楽しさや安心感を提供しています。
ハリアーの各ガラスの紫外線カット率はどのくらいですか？,フロントウインドシールドガラスの紫外線カット率は99%以上、フィックスガラスとドアガラスは85%以上、リヤドアガラスやフィックスガラス、クォーターガラスは95%以上、バックドアガラスは90%以上、調光パノラマルーフは99%以上です。
ランドクルーザーの各ガラスの紫外線カット率はどのくらいですか？,フロントウインドシールドガラスの紫外線カット率は99％、ドアガラス、リヤドアガラス、リヤドアクォーターガラス、クォーターガラス、バックドアガラス、チルト＆スライド電動ムーンルーフはそれぞれ90％以上です。
ルーミーの各ガラスの紫外線カット率はどれくらいですか？,フロントウインドシールドガラスの紫外線カット率は99％、クォーターガラスとドアガラスはグレードによって99％または85％以上、リヤドアガラス、クォーターガラス、バックドアガラスは全グレードで85％以上です。
GRヤリスの各ガラスの紫外線カット率はどれくらいですか？,ウインドシールドガラスの紫外線カット率は99%以上、フロントドアガラスは90%以上、リヤサイドガラスは90%以上（RC Light Package除く）、バックドアガラスは95%以上（RC Light Package除く）です。
GRカローラのボディカラーには、耐酸性雨向上塗料や耐スリ傷性向上塗料が使用されていますか？,プラチナホワイトパールマイカ、プレシャスブラックパール、エモーショナルレッドⅡ、プレシャスメタルのボディカラーでは耐酸性雨向上塗料と自己修復性耐スリ傷塗料が使用されています。ただし、マットスティールとスーパーホワイトⅡでは使用されていません。また、樹脂系部品には使用されていません。
ハリアーのデジタルインナーミラー（前後方録画機能付）は、どのような映像を録画することができますか？,デジタルインナーミラーは、常時録画、衝撃検知録画、手動録画、静止画の4種類の映像・画像を記録できます。常時録画は最大230分、衝撃検知録画と手動録画は前後方映像それぞれ10件・20件、静止画は前後方画像それぞれ500枚まで記録可能です。記録領域がなくなると古いファイルから消去され、録画が継続されます。
RAV4の4WD（E-Four）システムはどのような特徴があり、トルク配分はどのようになっていますか？,E-Fourは電気式4WDで、様々な走行状態に応じて自動的に制御し、安定性と燃費向上に寄与します。ハイブリッド車とプラグインハイブリッド車では、前輪100：後輪0～前輪20：後輪80までのトルク配分が可能です。プラグインハイブリッド車の発進時は常に前輪50：後輪50です。
シエンタの各ガラスの紫外線カット率はどれくらいですか？,フロントウインドシールドガラスの紫外線カット率は99%以上、クォーターガラスは90%以上、ドアガラスは85%以上、リヤスライドドアガラスとクォーターガラスは90%以上、バックドアガラスは90%以上です。オプションのコンフォートパッケージを選択すると、紫外線カット率が99%以上になります。
ノアとヴォクシーの違いは何ですか？（同グレード比較）,ノアとヴォクシーの違いは、グレード体系、車両本体価格、外観、ボディカラー、およびS-Zグレードの内装ステッチ色です。ヴォクシーはノアよりも価格が高く、外観やボディカラーが異なります。また、S-Zグレードではノアのステッチ色がシルバー、ヴォクシーのステッチ色がダークネイビーです。主要諸元、装備内容、内装、内装色・天井色に違いはありません。
ノアとヴォクシーの同グレードにおける違いは何ですか？,ノアとヴォクシーの違いは、グレード体系、車両本体価格、外観、ボディカラー、およびS-Zグレードの内装ステッチ色です。主要諸元、装備内容、内装、内装色・天井色には差はありません。
プリウスのアクセサリーコンセント（AC100V・1500W）での給電可能時間はどれくらいですか？,ハイブリッド車では、燃料満タンで停車中に消費電力400Wで供給すると、1.8L車は約4.5日、2.0L車は約5.0日給電可能です。プラグインハイブリッド車では、EV給電モードで約11時間、HV給電モードで約5.5日給電可能です。ただし、消費電力は合計1500W以下が必要で、使用条件により異なります。
アクアのシートのヒップポイントまでの高さは、地面からどれくらいですか？,地面からシートのヒップポイントまでの高さは、運転席で約560mm（2WD）または約575mm（4WD）、助手席で約560mm（2WD）または約575mm（4WD）、リヤシートで約570-620mmです。ただし、これらの数値は空車状態での目安であり、燃料量や乗車人数、荷物の重さなどによって異なります。また、高さ調整が可能なシートもあります。
カローラツーリングの各ガラスの紫外線カット率はどのくらいですか？,紫外線カット率は、フロントウインドシールドガラスが99％、フィックスガラスとドアガラスが85％以上、リヤドアガラスとリヤフィックスガラスが85％以上（プライバシー機能付きの場合95％以上）、リヤクォーターガラスが85％以上（プライバシー機能付きの場合90％以上）、バックドアガラスが85％以上（プライバシー機能付きの場合95％以上）です。
カローラの各ガラスの紫外線カット率はどのくらいですか？,"紫外線カット率は以下の通りです。
- ウインドシールドガラス：99%
- フロントフィックスガラス：85%以上
- フロントドアガラス：85%以上
- リヤドアガラス：85%以上（X標準）、95%以上（プライバシー）
- リヤフィックスガラス：85%以上（X標準）、95%以上（プライバシー）
- バックウインドゥガラス：85%以上
これらの数値は社内測定値であり、ばらつきがある場合があります。"
ハイラックスに使用されるAdBlue（アドブルー）とは、どのようなものですか？,"AdBlue（アドブルー）は、排気ガス中の窒素酸化物を低減するために使用される尿素水です。約600km走行で1L消費し、通常は満タンから約10,000km走行で尿素水がなくなります。尿素水の残量が少なくなると警告灯やメッセージが表示され、早めに補充が必要です。市販品の尿素水も使用できますが、規格ISO 22241-1に準拠したものを選び、取扱書を確認してください。尿素水の凍結温度は約マイナス11℃で、凍結しても走行は可能です。尿素水のポンプにはヒーティング機能があり、凍結した尿素水を解凍できます。"
アクアの自動防眩インナーミラー（ドライブレコーダー付）の録画機能について詳しく教えていただけますか？,自動防眩インナーミラーの録画機能には、常時録画、衝撃検知録画、手動録画、駐車時録画の4種類があります。前方カメラは200万画素、後方カメラは130万画素で、microSDカードに記録されます。再生にはPCやスマートフォン、専用アプリ「TOYOTA SMART VIEWER」が必要です。
